,_id,category_code,country_code,founded_year,geoloc,latitude,longitude,name,number_of_employees,total_money_raised,total_offices,nearest_offices,ranking
107,5d277baf5370f8e6fc94d905,ecommerce,USA,2007,"{'type': 'Point', 'coordinates': [-73.9954585, 40.7384997]}",40.7384997,-73.9954585,Bonobos,150,$74.7M,1,1,0.5
69,5d277baf5370f8e6fc94d8df,network_hosting,DEU,2003,"{'type': 'Point', 'coordinates': [9.98793, 53.555554]}",53.555554,9.98793,XING,500,€5.7M,1,1,0.5
138,5d277baf5370f8e6fc94d924,advertising,ESP,2007,"{'type': 'Point', 'coordinates': [-3.6923285, 40.4596242]}",40.4596242,-3.6923285,Videoplaza,70,€15.9M,5,1,0.5
155,5d277baf5370f8e6fc94d935,web,USA,2008,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}",37.7870923,-122.3999719,Lolapps,65,$4M,2,1,0.5
90,5d277baf5370f8e6fc94d8f4,software,USA,2004,"{'type': 'Point', 'coordinates': [-117.8587, 33.676444]}",33.676444,-117.8587,Kareo,250,$51.4M,1,1,0.5
50,5d277baf5370f8e6fc94d8cc,software,USA,2004,"{'type': 'Point', 'coordinates': [-122.006539, 37.332271]}",37.332271,-122.006539,Baynote,80,$27.8M,1,1,0.5
21,5d277baf5370f8e6fc94d8af,games_video,USA,2003,"{'type': 'Point', 'coordinates': [-122.400558, 37.788668]}",37.788668,-122.400558,hi5,100,$52M,1,1,0.5
136,5d277baf5370f8e6fc94d922,advertising,SWE,2007,"{'type': 'Point', 'coordinates': [18.0333601, 59.3351833]}",59.3351833,18.0333601,Videoplaza,70,€15.9M,5,1,0.5
44,5d277baf5370f8e6fc94d8c6,mobile,ESP,2006,"{'type': 'Point', 'coordinates': [-3.632687, 40.530724]}",40.530724,-3.632687,Fon,100,€44M,1,1,0.5
87,5d277baf5370f8e6fc94d8f1,software,USA,2005,"{'type': 'Point', 'coordinates': [-87.750643, 42.040851]}",42.040851,-87.750643,Ifbyphone,90,$30.3M,1,1,0.5
